ticker,issuer_cik,share_class_tickers,window_start_fy,window_end_fy,window_year_count,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,board_target_in_scope,board_target_stratum,board_target_featured_pct,board_target_metric_type,board_target_verification,source_accessions,flags
PG,0000080424,PG,2021,2025,5,2025,Mr. Moeller,21909816,15425410,126801100,183028794,150.71,170.04,-19.3,False,0.7,False,,,,,0001193125-25-191749,CEO_TRANSITION
CBRE,0001138118,CBRE,2021,2025,5,2025,Robert E. Sulentic,24325039,45581677,104060245,181218444,256.36,168.39,88.0,True,1.87,False,,,,,0001193125-26-141285,
NOC,0001133421,NOC,2021,2025,5,2025,Kathy Warden,25400000,46100000,115100000,179500000,203.19,212.68,-9.5,False,1.81,False,,,,,0001133421-26-000007,
BSX,0000885725,BSX,2021,2025,5,2025,Michael F. Mahoney,23532050,32971714,96682586,179459578,265.23,148.36,116.9,True,1.4,False,,,,,0000885725-26-000025,
LIN,0001707925,LIN,2021,2025,5,2025,Sanjiv Lamba,21777870,15934321,108064106,179232097,173.35,138.87,34.5,True,0.73,False,,,,,0001193125-26-192209,CEO_TRANSITION
RL,0001037038,RL,2022,2026,5,2026,Mr. Louvet,23264269,62764477,95996686,177091771,297.74,58.52,239.2,True,2.7,False,,,,,0001140361-26-025788,
AFL,0000004977,AFL,2021,2025,5,2025,Daniel P. Amos,25033687,38988251,96509718,176639226,278.50,201.00,77.5,True,1.56,False,,,,,0001628280-26-019621,
DIS,0001744489,DIS,2021,2025,5,2025,Mr. Iger,45842574,63461475,185131443,175658435,94.13,224.99,-130.9,False,1.38,False,,,,,0001744489-26-000013,CEO_TRANSITION
EBAY,0001065088,EBAY,2021,2025,5,2025,Mr. Iannone,28463890,74378139,109009636,175600708,189.15,258.38,-69.2,False,2.61,False,,,,,0001552781-26-000285,
VRTX,0000875320,VRTX,2021,2025,5,2025,Reshma Kewalramani,21144261,38218069,94340723,173902554,191.83,124.75,67.1,True,1.81,False,,,,,0000875320-26-000153,
HIG,0000874766,HIG,2021,2025,5,2025,Christopher Swift,22114212,48028798,89776627,173767406,312,210,102.0,True,2.17,False,,,,,0000874766-26-000025,
AJG,0000354190,AJG,2021,2025,5,2025,Pat Gallagher,20745060,31447358,81767505,173208302,91.98,93.06,-1.1,False,1.52,False,,,,,0000354190-26-000101,
QCOM,0000804328,QCOM,2021,2025,5,2025,Cristiano R. Amon,29701097,29635405,111896596,171750319,164,229,-65.0,False,1.0,False,,,,,0001104659-26-005781,CEO_TRANSITION
PSX,0001534701,PSX,2021,2025,5,2025,Mr. Lashier,23113403,32433844,120581604,169567096,224.57,342.94,-118.4,False,1.4,False,,,,,0001534701-26-000010,CEO_TRANSITION
ADP,0000008670,ADP,2021,2025,5,2025,Ms. Black,19137192,31938998,102862717,168861793,229.88,196.20,33.7,True,1.67,False,,,,,0001308179-25-000607,CEO_TRANSITION
OMC,0000029989,OMC,2021,2025,5,2025,John Wren,69865846,67924486,152350944,168857203,154.22,224.01,-69.8,False,0.97,False,,,,,0001213900-26-034811,
CVX,0000093410,CVX,2021,2025,5,2025,Mr. Wirth,26828240,17696603,133733862,168456979,222,275,-53.0,False,0.66,False,,,,,0001193125-26-145617,
ETN,0001551182,ETN,2021,2025,5,2025,,13974141,-16187601,98764979,168248248,288,175,113.0,True,-1.16,False,,,,,0001193125-26-105117,CEO_TRANSITION
CARR,0001783180,CARR,2021,2025,5,2025,Mr. Gitlin,14962913,-27792296,126507420,168143968,149,173,-24.0,False,-1.86,False,,,,,0001783180-26-000016,
ALL,0000899051,ALL,2021,2025,5,2025,Mr. Wilson,22920898,45082152,100225071,167748764,214,214,0.0,False,1.97,False,,,,,0000899051-26-000063,
CAH,0000721371,CAH,2021,2025,5,2025,,18976195,72784925,92888774,167696695,371,134,237.0,True,3.84,False,,,,,0000721371-25-000114,CEO_TRANSITION
WAB,0000943452,WAB,2021,2025,5,2025,Rafael Santana,26181461,45529360,85361730,166129942,300,179,121.0,True,1.74,False,,,,,0001628280-26-022197,
MA,0001141391,MA,2021,2025,5,2025,Mr. Miebach,35422518,35653703,128447096,165775897,165,203,-38.0,False,1.01,False,,,,,0001141391-26-000021,CEO_TRANSITION
JCI,0000833444,JCI,2021,2025,5,2025,,19963827,33407820,99333034,165348980,299,208,91.0,True,1.67,False,,,,,0001104659-26-004565,CEO_TRANSITION
TEL,0001385157,TEL,2021,2025,5,2025,Terrence Curtin,18325536,66647241,82530693,164784964,247.03,288,-41.0,False,3.64,False,,,,,0001104659-26-003934,
LHX,0000202058,LHX,2021,2026,5,2026,Mr. Kubasik,25617590,59464701,114400793,163449339,178.36,237.57,-59.2,False,2.32,False,,,,,0001104659-26-038170,CEO_TRANSITION
FOXA,0001754301,FOX;FOXA,2021,2025,5,2025,Mr. L.K. Murdoch,32980954,66319496,127988961,163376926,224,157,67.0,True,2.01,False,,,,,0001628280-25-042772,
DE,0000315189,DE,2021,2025,5,2025,Mr. May,27925424,14950301,122662592,161587740,217.99,221.76,-3.8,False,0.54,False,,,,,0001104659-26-003618,
TPR,0001116132,TPR,2021,2025,5,2025,Joanne Crevoiserat,17340349,77657770,73638160,160872550,780,101,679.0,True,4.48,False,,,,,0001140361-25-036303,CEO_TRANSITION
SCHW,0000316709,SCHW,2021,2025,5,2025,Walter W. Bettinger II,18755222,27233933,115340258,160323422,201,231,-30.0,False,1.45,False,,,,,0001193125-26-142826,
FCX,0000831259,FCX,2021,2025,5,2025,Kathleen L. Quirk,14808126,24358128,115489775,159872763,208.56,330.58,-122.0,False,1.64,False,,,,,0001193125-26-173666,CEO_TRANSITION
EQT,0000033213,EQT,2021,2025,5,2025,Mr. Toby Z. Rice,16087233,25997564,66463580,159058673,448.69,323.98,124.7,True,1.62,False,,,,,0001104659-26-020027,
CIEN,0000936395,CIEN,2021,2025,5,2025,Mr. Smith,18530396,94502099,71507410,158651807,482.15,271.04,211.1,True,5.1,False,,,,,0001193125-26-047977,
NUE,0000073309,NUE,2021,2025,5,2025,Leon J. Topalian,14945471,27574194,91161375,157499801,331,342,-11.0,False,1.84,False,,,,,0001193125-26-127739,
JNJ,0000200406,JNJ,2022,2025,4,2025,J. Duato,32758111,68275237,125299157,157425228,151.55,188.57,-37.0,False,2.08,False,,,,,0000200406-26-000063,CEO_TRANSITION
VLO,0001035002,VLO,2021,2025,5,2025,R. Lane Riggs,34228523,31442695,149660258,157014565,346.01,251.49,94.5,True,0.92,False,,,,,0001628280-26-019806,CEO_TRANSITION
IR,0001699150,IR,2021,2025,5,2025,Mr. Reynal,16197391,-30164108,114330563,156806244,174.76,189.72,-15.0,False,-1.86,False,,,,,0001140361-26-016726,
WDC,0000106040,WDC,2021,2025,5,2025,,24931456,42539122,114418991,155685959,198,352,-154.0,False,1.71,False,,,,,0001628280-25-044298,CEO_TRANSITION
IT,0000749251,IT,2021,2025,5,2025,Mr. Hall,19226580,-7029765,83426668,155459311,158,130,28.0,True,-0.37,False,,,,,0000749251-26-000159,
T,0000732717,T,2021,2025,5,2025,John Stankey,29906872,43038808,130504279,155080641,155,213,-58.0,False,1.44,False,,,,,0001193125-26-119888,
SYK,0000310764,SYK,2021,2025,5,2025,Mr. Lobo,21401495,24776477,99071823,154702448,151.03,148.36,2.7,True,1.16,False,,,,,0000310764-26-000013,
SPGI,0000064040,SPGI,2021,2025,5,2025,Martina Cheung,12831062,16625418,108673392,154163921,166,155,11.0,True,1.3,False,,,,,0001104659-26-037380,CEO_TRANSITION
EMR,0000032604,EMR,2021,2025,5,2025,S. L. Karsanbhai,21240262,37115801,105704644,154099861,225.78,217.50,8.3,True,1.75,False,,,,,0000032604-25-000103,CEO_TRANSITION
F,0000037996,F,2021,2025,5,2025,"James D. Farley, Jr.",27519558,49214346,122660777,151690144,197,149,48.0,True,1.79,False,,,,,0001552781-26-000164,
GLW,0000024741,GLW,2021,2025,5,2025,Wendell P. Weeks,25756121,61628148,100005711,150347967,279.06,249.73,29.3,True,2.39,False,,,,,0001206774-26-000148,
EQIX,0001101239,EQIX,2021,2025,5,2025,Ms. Fox-Martin,22654885,11908291,152063485,150319080,118.10,123.88,-5.8,False,0.53,False,,,,,0001101239-26-000073,CEO_TRANSITION
HAL,0000045012,HAL,2021,2025,5,2025,Jeffrey A. Miller,16525407,18843234,101757441,150175557,163.76,181.72,-18.0,False,1.14,False,,,,,0000045012-26-000033,
AMGN,0000318154,AMGN,2021,2025,5,2025,Mr. Bradway,24693120,49378868,114886152,149840535,166.63,192.38,-25.8,False,2.0,False,,,,,0001193125-26-145588,
CCL,0000815097,CCL,2021,2025,5,2025,Josh Weinstein,18887776,37060165,90485358,148968893,129.03,196.57,-67.5,False,1.96,False,,,,,0001104659-26-021074,CEO_TRANSITION
PTC,0000857005,PTC,2021,2025,5,2025,Mr. Barua,24315129,22858151,95720227,148655462,245.43,284.85,-39.4,False,0.94,False,,,,,0001104659-25-124170,CEO_TRANSITION
CNP,0001130310,CNP,2021,2025,5,2025,Jason Wells,12092341,24629013,89662193,148372576,201.5,130.1,71.4,True,2.04,False,,,,,0001104659-26-023457,CEO_TRANSITION
NWSA,0001564708,NWS;NWSA,2021,2025,5,2025,Mr. Thomson,20623729,24422935,102999460,144731571,269,103,166.0,True,1.18,False,,,,,0001140361-25-037696,
IBKR,0001381197,IBKR,2021,2025,5,2025,Mr. Milan Galik,19669486,42156235,78713531,143350602,434,196,238.0,True,2.14,False,,,,,0001381197-26-000066,
BKR,0001701605,BKR,2021,2025,5,2025,Mr. Simonelli,21363825,33415063,95185250,141041259,248,165,83.0,True,1.56,False,,,,,0001193125-26-130309,
MMM,0000066740,MMM,2021,2025,5,2025,William M. Brown,21005009,35738149,108065582,140542766,132,173,-41.0,False,1.7,False,,,,,0000066740-26-000151,CEO_TRANSITION
EL,0001001250,EL,2021,2025,5,2025,,17793402,6575426,158546767,139704849,45.86,170.04,-124.2,False,0.37,False,,,,,0001104659-25-093184,CEO_TRANSITION
ICE,0001571949,ICE,2021,2025,5,2025,Mr. Sprecher,22133386,28617998,100697213,138897450,149.78,141.57,8.2,True,1.29,False,,,,,0001193125-26-134700,
CME,0001156375,CME,2021,2025,5,2025,Terrence A. Duffy,23394854,38204401,116676257,138556749,181.29,164.59,16.7,True,1.63,False,,,,,0001628280-26-020500,
ACGL,0000947484,ACGL,2021,2025,5,2025,Mr. Papadopoulo,14626320,27474443,90345984,138101303,279.66,234.32,45.3,True,1.88,False,,,,,0000947484-26-000038,CEO_TRANSITION
DUK,0001326160,DUK,2021,2025,5,2025,,13652630,15135448,101569918,138085614,156,153,3.0,True,1.11,False,,,,,0001104659-26-032443,CEO_TRANSITION
MRK,0000310158,MRK,2021,2025,5,2025,Mr. Davis,20797845,15760172,111826330,137381373,158.08,198.33,-40.2,False,0.76,False,,,,,0001193125-26-147704,CEO_TRANSITION
MCD,0000063908,MCD,2021,2025,5,2025,Mr. Kempczinski,20574525,17916531,95723435,137246381,160,173,-13.0,False,0.87,False,,,,,0001193125-26-145548,
WM,0000823768,WM,2021,2025,5,2025,"Mr. James C. Fish, Jr.",19048786,27485198,78652807,135935971,202,196,6.0,True,1.44,False,,,,,0001104659-26-037381,
PNC,0000713676,PNC,2021,2025,5,2025,William S. Demchak,29503081,35678671,109509487,135652969,167.9,196,-28.1,False,1.21,False,,,,,0001193125-26-102189,
BG,0001996862,BG,2021,2025,5,2025,Gregory Heckman,18945479,24536788,87393615,135198965,155,101,54.0,True,1.3,False,,,,,0001628280-26-024588,
ISRG,0001035267,ISRG,2021,2025,5,2025,,20997480,26375695,88142716,134646433,287.42,102.99,184.4,True,1.26,False,,,,,0001035267-26-000023,CEO_TRANSITION
FANG,0001539838,FANG,2021,2025,5,2025,,20502775,16582404,105023261,134204263,383.98,269.59,114.4,True,0.81,False,,,,,0001308179-26-000242,CEO_TRANSITION
DDOG,0001561550,DDOG,2021,2025,5,2025,Mr. Pomel,27055482,50088037,78424849,133896166,360,388,-28.0,False,1.85,False,,,,,0001628280-26-028118,
STX,0001137789,STX,2021,2025,5,2025,William D. Mosley,17176927,57393073,67096369,133840249,358,229,129.0,True,3.34,False,,,,,0001137789-25-000211,
INCY,0000879169,INCY,2021,2025,5,2025,,32085952,54707801,103699182,133362998,113.55,119.92,-6.4,False,1.71,False,,,,,0000879169-26-000031,CEO_TRANSITION
PEP,0000077476,PEP,2021,2025,5,2025,Ramon L. Laguarta,23903545,1401981,140519351,133215965,112.86,111.09,1.8,True,0.06,False,,,,,0001308179-26-000169,
ULTA,0001403568,ULTA,2022,2026,5,2026,Kecia L. Steelman,15403663,33853098,75906908,132658916,231.4,158.51,72.9,True,2.2,False,,,,,0001104659-26-046308,CEO_TRANSITION
TXT,0000217346,TXT,2021,2025,5,2025,Mr. Donnelly,21165556,24044049,95144589,132367324,181.1,237.6,-56.5,False,1.14,False,,,,,0001552781-26-000084,
STLD,0001022671,STLD,2021,2025,5,2025,Mr. Mark Millett,12059908,24225255,57900831,132310250,498,369,129.0,True,2.01,False,,,,,0001104659-26-035826,
LOW,0000060667,LOW,2022,2026,5,2026,Mr. Ellison,21581889,24847325,95252794,132114182,175.63,164.12,11.5,True,1.15,False,,,,,0000060667-26-000056,
DGX,0001022079,DGX,2021,2025,5,2025,James E. Davis,15498479,26510389,84696184,131996900,160.65,148.37,12.3,True,1.71,False,,,,,0001140361-26-013356,CEO_TRANSITION
ACN,0001467373,ACN,2021,2025,5,2025,Ms. Sweet,29641903,16552177,142894454,131536242,117,251,-134.0,False,0.56,False,,,,,0001308179-25-000651,
TXN,0000097476,TXN,2021,2025,5,2025,Mr. Ilan,22669509,17392255,119647380,131276563,121.78,258.38,-136.6,False,0.77,False,,,,,0000097476-26-000078,CEO_TRANSITION
PFE,0000078003,PFE,2021,2025,5,2025,Bourla,27585301,33705501,131166764,130918964,86,187,-101.0,False,1.22,False,,,,,0000078003-26-000033,
MOS,0001285785,MOS,2021,2025,5,2025,Bruce M. Bodine,10410935,10983095,56532909,130764216,116.32,138.87,-22.6,False,1.05,False,,,,,0001285785-26-000061,
META,0001326801,META,2021,2025,5,2025,Mark Zuckerberg,25125904,25125904,130679225,130679225,243.32,445.33,-202.0,False,1.0,True,S&P 100 Layer A,,founder_no_incentive_award,PRIMARY_VERIFIED,0001628280-26-025532,
FTNT,0001262039,FTNT,2021,2025,5,2025,Ken Xie,11458039,1145113,69306605,129944073,267.28,258.44,8.8,True,0.1,False,,,,,0002077096-26-000106,
ADBE,0000796343,ADBE,2021,2025,5,2025,Shantanu Narayen,51173935,-17392652,216225731,129912920,67.11,187.96,-120.9,False,-0.34,True,S&P 100 Layer A,83,LTI_PSU_actual,PRIMARY_VERIFIED,0000796343-26-000043,
NVR,0000906163,NVR,2021,2025,5,2025,,1748563,-9128987,72159721,128494426,178.8,214.6,-35.8,False,-5.22,False,,,,,0000906163-26-000029,CEO_TRANSITION
VZ,0000732712,VZ,2021,2025,5,2025,,34311016,34137740,153951000,127209018,93.65,213.25,-119.6,False,0.99,False,,,,,0001308179-26-000210,CEO_TRANSITION
HPE,0001645590,HPE,2021,2025,5,2025,Mr. Neri,23482721,30748204,101379247,125531442,329,319,10.0,True,1.31,False,,,,,0001645590-26-000019,
LULU,0001397187,LULU,2021,2025,5,2025,Calvin McDonald,14551916,2215177,70566091,125484001,173.02,56.14,116.9,True,0.15,False,,,,,0001397187-25-000017,
YUM,0001041061,YUM,2021,2025,5,2025,,20861526,24292446,120187718,125094634,153,154,-1.0,False,1.16,False,,,,,0001193125-26-142078,CEO_TRANSITION
MET,0001099219,MET,2021,2025,5,2025,Mr. Khalaf,22364273,13805007,97940260,125041587,195.93,201.00,-5.1,False,0.62,False,,,,,0001099219-26-000026,
KEYS,0001601046,KEYS,2021,2025,5,2025,Mr. Dhanasekaran,18020109,22733067,88996066,124853628,174.46,318.88,-144.4,False,1.26,False,,,,,0001140361-26-002381,CEO_TRANSITION
ABT,0000001800,ABT,2021,2025,5,2025,Robert B. Ford,24198660,26833361,116880944,123445135,125,148,-23.0,False,1.11,False,,,,,0001308179-26-000064,
CPRT,0000900075,CPRT,2021,2025,5,2025,,2072692,-1937010,39157407,123193687,194.45,135.38,59.1,True,-0.93,False,,,,,0001193125-25-249664,CEO_TRANSITION
ADM,0000007084,ADM,2021,2025,5,2025,Juan Luciano,23886978,10686678,118129559,122917100,131.07,214.08,-83.0,False,0.45,False,,,,,0001193125-26-126218,
CTAS,0000723254,CTAS,2021,2025,5,2025,Todd M. Schneider,9249676,34558802,42429899,122841781,384.67,203.00,181.7,True,3.74,False,,,,,0000723254-25-000025,
LMT,0000936468,LMT,2021,2025,5,2025,Taiclet,23453308,19116609,112942753,122732910,156.36,230.49,-74.1,False,0.82,False,,,,,0000936468-26-000004,
LH,0000920148,LH,2021,2025,5,2025,Adam H. Schechter,18339913,30129512,89125524,122596807,150,148,2.0,True,1.64,False,,,,,0001193125-26-150752,
MLM,0000916076,MLM,2021,2025,5,2025,C. Howard Nye,14264065,25741013,78193551,122472928,226.27,138.87,87.4,True,1.8,False,,,,,0001193125-26-157039,
MSCI,0001408198,MSCI,2021,2025,5,2025,Henry A. Fernandez,33320590,19771649,86147470,122249547,135.2,208.4,-73.2,False,0.59,False,,,,,0001408198-26-000023,
HON,0000773840,HON,2021,2025,5,2025,Vimal Kapur,20381435,10865674,127627344,121185625,107.80,189.10,-81.3,False,0.53,False,,,,,0000773840-26-000029,CEO_TRANSITION
ITW,0000049826,ITW,2021,2025,5,2025,Christopher A. O’Herlihy,15211011,14920823,91673325,121149911,135.62,192.4,-56.8,False,0.98,False,,,,,0001193125-26-127599,
SNPS,0000883241,SNPS,2021,2025,5,2025,Sassine Ghazi,19605963,-15589671,99024477,120911383,212.2,318.9,-106.7,False,-0.8,False,,,,,0000883241-26-000007,CEO_TRANSITION
USB,0000036104,USB,2021,2025,5,2025,,19054648,21253618,113309237,120731827,142,196,-54.0,False,1.12,False,,,,,0001104659-26-025844,CEO_TRANSITION
PHM,0000822416,PHM,2021,2025,5,2025,Mr. Marshall,15393266,24268797,76994921,120451116,285.70,183.73,102.0,True,1.58,False,,,,,0000822416-26-000016,
ROP,0000882835,ROP,2021,2025,5,2025,L. Neil Hunn,26205765,3919379,134613392,120302136,106,258,-152.0,False,0.15,False,,,,,0001193125-26-145481,
LITE,0001633978,LITE,2021,2025,5,2025,,46407285,46661132,121153592,119343097,124.46,199.56,-75.1,False,1.01,False,,,,,0001308179-25-000615,CEO_TRANSITION
ON,0001097864,ON,2021,2025,5,2025,Hassane El-Khoury,17678866,5241414,98120821,119264548,165,268,-103.0,False,0.3,False,,,,,0001097864-26-000010,
RSG,0001060391,RSG,2021,2025,5,2025,Mr. Vander Ark,14857016,14865606,71817079,119041287,234.13,131.58,102.5,True,1.0,False,,,,,0001193125-26-121796,CEO_TRANSITION
PRU,0001137774,PRU,2021,2025,5,2025,,18631646,16746913,117315000,118832291,184,201,-17.0,False,0.9,False,,,,,0001104659-26-035162,CEO_TRANSITION
SLB,0000087347,SLB,2021,2025,5,2025,Mr. Le Peuch,17347291,17486818,85416999,118274197,195.72,192.26,3.5,True,1.01,False,,,,,0001308179-26-000024,
EA,0000712515,EA,2021,2025,5,2025,Andrew Wilson,30529835,29242935,135856289,117728179,148,221,-73.0,False,0.96,False,,,,,0001308179-25-000556,
J,0000052988,J,2021,2025,5,2025,,14038363,14757687,74381483,117579956,201,146,55.0,True,1.05,False,,,,,0001193125-25-325103,CEO_TRANSITION
LVS,0001300514,LVS,2021,2025,5,2025,Mr. Goldstein,31109661,27592092,123299351,117379436,114,82,32.0,True,0.89,False,,,,,0001300514-26-000031,CEO_TRANSITION
ELV,0001156039,ELV,2021,2025,5,2025,Gail Boudreaux,22582314,18785570,105222651,116739354,117,148,-31.0,False,0.83,False,,,,,0001156039-26-000031,
CASY,0000726958,CASY,2021,2025,5,2025,Mr. Rebelez,10680000,40743000,49160000,115824000,315,173,142.0,True,3.81,False,,,,,0001140361-25-026947,
AEP,0000004904,AEP,2021,2025,5,2025,,36608524,44766056,106177316,115450849,166.24,166.34,-0.1,False,1.22,False,,,,,0000004904-26-000022,CEO_TRANSITION
CMI,0000026172,CMI,2021,2025,5,2025,Jennifer W. Rumsey,19905532,37319088,88909090,115428960,253.8,207.9,45.9,True,1.87,False,,,,,0001104659-26-039158,CEO_TRANSITION
OXY,0000797468,OXY,2021,2025,5,2025,Vicki Hollub,18055969,11322463,80364098,115039923,252,268,-16.0,False,0.63,False,,,,,0001628280-26-019816,
JBHT,0000728535,JBHT,2021,2025,5,2025,,,13097307,46619767,114801104,148.91,162.46,-13.6,False,,False,,,,,0001437749-26-007732,CEO_TRANSITION
STT,0000093751,STT,2021,2025,5,2025,Mr. O’Hanley,19529070,43149556,81812480,114731173,206.6,196,10.6,True,2.21,False,,,,,0001140361-26-013817,
TSN,0000100493,TSN,2021,2025,5,2025,Donnie King,34469569,31914312,105917418,114615791,106.07,149.94,-43.9,False,0.93,False,,,,,0000100493-25-000114,CEO_TRANSITION
CI,0001739940,CI,2021,2025,5,2025,David M. Cordani,22866134,14585303,108002255,114404349,144.513,148.362,-3.8,False,0.64,False,,,,,0001739940-26-000023,
FFIV,0001048695,FFIV,2021,2025,5,2025,Mr. Locoh-Donou,23039819,44505157,76234614,114238882,263.25,284.85,-21.6,False,1.93,False,,,,,0001048695-26-000012,
ADSK,0000769397,ADSK,2022,2026,5,2026,Andrew Anagnost,30091165,24447086,115630235,113886478,91.15,133.77,-42.6,False,0.81,False,,,,,0000769397-26-000030,
GEN,0000849399,GEN,2021,2025,5,2025,Vincent Pilette,22510196,33544036,90511467,113463879,161,310,-149.0,False,1.49,False,,,,,0001140361-25-027427,
NCLH,0001513761,NCLH,2021,2025,5,2025,Harry Sommer,13752560,15461282,88679888,113007368,87.77,144.95,-57.2,False,1.12,False,,,,,0001104659-26-052146,CEO_TRANSITION
OTIS,0001781335,OTIS,2021,2025,5,2025,Ms. Marks,16977877,9537971,103252509,112725721,139,190,-51.0,False,0.56,False,,,,,0001140361-26-015389,
ROST,0000745732,ROST,2022,2026,5,2026,James G. Conroy,17406705,29424552,79820604,112321187,179,209,-30.0,False,1.69,False,,,,,0000745732-26-000013,
CRH,0000849395,CRH,2022,2025,4,2025,Mr. Manifold.,17841808,29683003,56660577,112291525,262.13,109.10,153.0,True,1.66,False,,,,,0001628280-26-021560,
CMCSA,0001166691,CMCSA,2021,2025,5,2025,Mr. Roberts,35148413,13692402,170532132,111062744,65.57,96.29,-30.7,False,0.39,False,,,,,0001193125-26-177138,
GL,0000320335,GL,2021,2025,5,2025,,9453935,15976152,84227286,110981754,154,201,-47.0,False,1.69,False,,,,,0000320335-26-000135,CEO_TRANSITION
HSY,0000047111,HSY,2021,2025,5,2025,,16806399,18390725,90163617,110286546,135,98,37.0,True,1.09,False,,,,,0001628280-26-021065,CEO_TRANSITION
GDDY,0001609711,GDDY,2021,2025,5,2025,Mr. Bhutani,23017010,-21622349,92295940,109275268,149.58,118.22,31.4,True,-0.94,False,,,,,0001609711-26-000030,
ETR,0000065984,ETR,2021,2025,5,2025,Mr. Marsh,16752589,21835264,77087031,108482411,222.60,153.04,69.6,True,1.3,False,,,,,0000065984-26-000211,CEO_TRANSITION
PFG,0001126328,PFG,2021,2025,5,2025,,13827887,15267075,88076242,107655158,212.98,203.47,9.5,True,1.1,False,,,,,0001104659-26-039920,CEO_TRANSITION
MDLZ,0001103982,MDLZ,2021,2025,5,2025,Mr. Van de Put,24516114,8052850,101893009,107543901,104.41,115.32,-10.9,False,0.33,False,,,,,0001628280-26-023640,
EFX,0000033185,EFX,2021,2025,5,2025,Mark W. Begor,23420134,-3703962,104579269,107431922,116.66,169.26,-52.6,False,-0.16,False,,,,,0001193125-26-127556,
CRM,0001108524,CRM,2022,2026,5,2026,Marc Benioff,49379252,-49207128,252154299,107153714,94.12,256.61,-162.5,False,-1.0,True,S&P 100 Layer A,103.3,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001108524-26-000085,CEO_TRANSITION
NTAP,0001002047,NTAP,2021,2025,5,2025,George Kurian,23127224,4745188,85469606,107004589,234.64,272.4,-37.8,False,0.21,False,,,,,0000950170-25-098850,
CMG,0001058090,CMG,2021,2025,5,2025,Scott Boatwright,15455736,-16022852,114273340,106990029,133,124,9.0,True,-1.04,False,,,,,0001140361-26-017294,CEO_TRANSITION
CSX,0000277948,CSX,2021,2025,5,2025,,23696453,15790960,112724707,106785894,128,190,-62.0,False,0.67,False,,,,,0001628280-26-021944,CEO_TRANSITION
HD,0000354950,HD,2022,2026,5,2026,,16191127,12120694,82885459,106709911,156.3,164.1,-7.8,False,0.75,False,,,,,0000354950-26-000090,CEO_TRANSITION
ZBRA,0000877212,ZBRA,2020,2025,6,2025,,13890300,6427632,104850846,106373037,63.18,258.38,-195.2,False,0.46,False,,,,,0001104659-26-039488,CEO_TRANSITION
VMC,0001396009,VMC,2021,2025,5,2025,Mr. Hill,14699497,21798649,61592656,106095644,200.02,130.99,69.0,True,1.48,False,,,,,0001628280-26-020812,
BA,0000012927,BA,2021,2025,5,2025,,23581389,31921725,133555937,105344608,101,230,-129.0,False,1.35,False,,,,,0001193125-26-096787,CEO_TRANSITION
ARE,0001035443,ARE,2021,2025,5,2025,,11572796,4293016,132626430,104865854,33.8,164.5,-130.7,False,0.37,False,,,,,0001035443-26-000031,CEO_TRANSITION
IVZ,0000914208,IVZ,2021,2025,5,2025,,16299849,36278513,84822838,104765019,186,181,5.0,True,2.23,False,,,,,0001193125-26-140019,CEO_TRANSITION
FDX,0001048911,FDX,2021,2025,5,2025,Mr. Subramaniam,12873691,7273193,63427708,104726381,182.43,175.85,6.6,True,0.56,False,,,,,0001104659-25-079800,
COST,0000909832,COST,2021,2025,5,2025,Ron M. Vachris,13932597,15633675,77792653,104726120,293.59,173.48,120.1,True,1.12,False,,,,,0000909832-25-000159,CEO_TRANSITION
DOV,0000029905,DOV,2021,2025,5,2025,Richard Tobin,18757706,15034170,83012449,104139487,165,190,-25.0,False,0.8,False,,,,,0001193125-26-120708,
NXPI,0001413447,NXPI,2021,2025,5,2025,,14736019,12209362,101579989,103890880,148.94,268.22,-119.3,False,0.83,False,,,,,0001413447-26-000026,CEO_TRANSITION
CF,0001324404,CF,2021,2025,5,2025,Mr. Will,13711938,15597638,64872277,103877252,222.57,147.62,74.9,True,1.14,False,,,,,0001104659-26-029482,
HPQ,0000047217,HPQ,2021,2025,5,2025,Enrique Lores,23103812,9882169,103736187,103528288,181.93,318.88,-136.9,False,0.43,False,,,,,0000047217-26-000015,
HST,0001070750,HST,2021,2025,5,2025,James F. Risoleo,14835223,23444743,74955400,102240311,146.56,115.35,31.2,True,1.58,False,,,,,0001070750-26-000062,
MCO,0001059556,MCO,2021,2025,5,2025,Robert Fauber,18082565,26294538,70806596,101938301,183,216,-33.0,False,1.45,False,,,,,0001059556-26-000019,
SYY,0000096021,SYY,2021,2025,5,2025,Kevin P. Hourican,16228599,13039770,82992869,101533498,164,232,-68.0,False,0.8,False,,,,,0000096021-25-000147,
HAS,0000046080,HAS,2021,2025,5,2025,Cocks,18672521,35332347,87182764,100861881,108.23,151.09,-42.9,False,1.89,False,,,,,0001193125-26-160426,CEO_TRANSITION
CRL,0001100682,CRL,2021,2025,5,2025,Mr. Foster,15435220,24913934,70159205,100337471,81,148,-67.0,False,1.61,False,,,,,0001104659-26-037367,
VTR,0000740260,VTR,2021,2025,5,2025,Debra A. Cafaro,17501073,40514474,73782636,100255727,187.19,164.51,22.7,True,2.31,False,,,,,0000740260-26-000010,
